train_language,validation_language,f1_score,recall_score,precision_score
EN,EN,0.028254512791369982,0.015416666666666667,0.3020833333333333
ALL,EN,0.0355661287900929,0.019375,0.3541666666666667
PT,PT,0.028555370960910115,0.015833333333333335,0.22916666666666666
ALL,PT,0.03310049546434243,0.018125000000000002,0.3020833333333333
HI,HI,0.031387292209161276,0.017361111111111112,0.23958333333333334
ALL,HI,0.04019550299347501,0.022222222222222223,0.2916666666666667
BG,BG,0.038452678069402314,0.021037581699346403,0.3645833333333333
ALL,BG,0.03586776724475584,0.0196078431372549,0.3541666666666667
