train_language,validation_language,f1_score,recall_score,precision_score
EN,EN,0.08409700705655249,0.05090909090909091,0.5
ALL,EN,0.08614668152002006,0.052727272727272734,0.4090909090909091
PT,PT,0.09469302334203217,0.05818181818181818,0.4090909090909091
ALL,PT,0.08880319373967074,0.051818181818181826,0.5
HI,HI,0.07799425015436662,0.04696969696969697,0.36363636363636365
ALL,HI,0.07978424901181415,0.048484848484848485,0.3181818181818182
BG,BG,0.08657723907035508,0.051693404634581115,0.5
ALL,BG,0.09638973195013065,0.0552584670231729,0.5909090909090909
