train_language,validation_language,f1_score,recall_score,precision_score
EN,EN,0.08078416580665543,0.05,0.4090909090909091
ALL,EN,0.0514944583815429,0.028181818181818186,0.4090909090909091
PT,PT,0.108444279912996,0.06545454545454545,0.45454545454545453
ALL,PT,0.1040416958882155,0.06272727272727273,0.45454545454545453
HI,HI,0.055160522725415634,0.031818181818181815,0.3181818181818182
ALL,HI,0.08335480286489429,0.05,0.36363636363636365
BG,BG,0.09312291505744913,0.054367201426024955,0.45454545454545453
ALL,BG,0.07000285330102375,0.0409982174688057,0.45454545454545453
