train_language,validation_language,f1_score,recall_score,precision_score
EN,EN,0.027873364201055656,0.015208333333333332,0.2916666666666667
ALL,EN,0.02774631880602099,0.015208333333333332,0.2916666666666667
PT,PT,0.02951833260626413,0.01625,0.25
ALL,PT,0.030234404714013053,0.016458333333333335,0.28125
HI,HI,0.03215134110829083,0.017708333333333333,0.23958333333333334
ALL,HI,0.022922750478490513,0.012499999999999999,0.1875
BG,BG,0.03612386347095752,0.019812091503267976,0.3020833333333333
ALL,BG,0.03297563196735621,0.0181781045751634,0.2708333333333333
