train_language,validation_language,f1_score,recall_score,precision_score
EN,EN,0.07140983764113833,0.045454545454545456,0.36363636363636365
ALL,EN,0.06179534106770723,0.04000000000000001,0.3181818181818182
PT,PT,0.12223890958652736,0.07181818181818182,0.5
ALL,PT,0.06784085255865045,0.03909090909090909,0.36363636363636365
HI,HI,0.060580785438470446,0.03636363636363636,0.22727272727272727
ALL,HI,0.07597143979108789,0.04393939393939394,0.36363636363636365
BG,BG,0.08837999498376857,0.05614973262032086,0.4090909090909091
ALL,BG,0.054849908823365816,0.031194295900178252,0.36363636363636365
