train_language,validation_language,f1_score,recall_score,precision_score
EN,EN,0.04473962676040112,0.024545454545454547,0.3181818181818182
ALL,EN,0.04836936734907624,0.026363636363636367,0.4090909090909091
PT,PT,0.06300397873540288,0.03727272727272728,0.3181818181818182
ALL,PT,0.07026412899758153,0.041818181818181824,0.2727272727272727
HI,HI,0.05552132876611055,0.031818181818181815,0.2727272727272727
ALL,HI,0.10915447297412108,0.06666666666666667,0.4090909090909091
BG,BG,0.09108526675683694,0.05436720142602496,0.4090909090909091
ALL,BG,0.054604986208759795,0.03208556149732621,0.36363636363636365
