train_language,validation_language,f1_score,recall_score,precision_score
EN,EN,0.07190418333672241,0.04064935064935065,0.48863636363636365
ALL,EN,0.08803666288040374,0.05454545454545456,0.5
PT,PT,0.11073217176575914,0.06454545454545456,0.5
ALL,PT,0.11375552435498369,0.06727272727272728,0.5
HI,HI,0.10382256148385181,0.06363636363636364,0.4090909090909091
ALL,HI,0.09695046077010887,0.05757575757575757,0.4090909090909091
BG,BG,0.1087235403273139,0.0699643493761141,0.5151515151515151
ALL,BG,0.09693658514413231,0.06149732620320856,0.45454545454545453
