train_language,validation_language,f1_score,recall_score,precision_score
EN,EN,0.060300954030143815,0.03272727272727272,0.5
ALL,EN,0.09305620749046183,0.05636363636363637,0.5909090909090909
PT,PT,0.11667778526161533,0.07,0.5454545454545454
ALL,PT,0.1012081147644305,0.05818181818181818,0.5454545454545454
HI,HI,0.06860497675336112,0.0393939393939394,0.36363636363636365
ALL,HI,0.0866372608760913,0.051515151515151514,0.45454545454545453
BG,BG,0.09896880692673612,0.057932263814616754,0.5909090909090909
ALL,BG,0.10361272972005221,0.060606060606060615,0.5909090909090909
